"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2023-06-13 05:40:14;"Donald Trump 🇺🇸 News";"1563807774290632704";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"Raise your hand if you agree with Elon Musk saying Hunter and Joe Biden should be INDICTED for corruption.

YES OR NO??

Trump 2024 flags FREE SHIPPING, click the link 24 HOURS LEFT ASAP👇

https://t.co/EYpSJ9MU3a";;;3647;"1668372663163670529"
2023-06-14 13:25:37;"Lara Logan";"1098091506886471680";;"-1";"en";"<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>";"This is an amazing film - I have seen it and am not surprised they have tried to suppress it for so long. Good for Elon Musk for helping to get it seen. https://t.co/BWOvuBPv5K";;;343;"1668852169443876865"
2023-06-13 11:07:33;"Nupur J Sharma";"17741799";;"-1";"en";"<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>";"While Jack Dorsey rails against India, here are details on how Elon Musk in his court submissions had spoken about the war Twitter had picked with one of its largest markets and how it was breaking the law

My report from 2022 

https://t.co/7tkxRSt8JB";;;653;"1668455033384361985"
2023-06-15 00:03:15;"Queen Kathy";"832375608";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @AfifLiponk: @LocalFox8 Here's a tweet about recent crypto stuff: 'Bitcoin hits new all-time high as Elon Musk and other bigwigs endorse…";;;7;"1669012635197513729"
2023-06-15 00:03:15;"Toma rani";"1373595208596615170";"pepeshiba_io";"1662659289490788352";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"@pepeshiba_io Attention all PEPESHIBA community members!

Our goal is to get Elon Musk to notice your amazing project and what we are building here. Imagine the possibilities if we have the support of the one and only Elon Musk! 
@Lotif1bd 
@SudipB143 
@ruhul";;;0;"1669012634044366850"
2023-06-15 00:03:12;"Shajalal2100";"1401204643527491589";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @pepeshiba_io: Attention all PEPESHIBA community members!

Our goal is to get Elon Musk to notice your amazing project and what we are b…";;;176;"1669012622262558722"
2023-06-15 00:03:08;"2B7C89526 ⚡️🏴‍☠️";"895975071746973697";;"-1";"en";"<a href='http://www.2B7C89526.net' rel='nofollow'>2B7C89526</a>";"RT @TheLastRefuge2: Rumors were initially that Elon Musk has committed $30 million to DeSantis Superpac Never Back Down.  However, with Rup…";;;225;"1669012606538100736"
2023-06-15 00:03:06;"howisthisnamenottakenyet2";"1285344304194637824";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @ddayen: Tesla's self-driving capability is something like 10 times more deadly than a regular car piloted by a human, per an analysis o…";;;1426;"1669012596597436419"
2023-06-15 00:03:06;"Bhaijaan Hindustan";"1608635212501508097";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @FekuBuster: Good.

Elon Musk bought Twitter to support right to Free Speech by bigots.

Even a Musk-owned Twitter couldn't digest the h…";;;5;"1669012596282851328"
2023-06-15 00:03:05;"MINDSET(@Gottigems)";"1645805521759514631";"Crypto__Diva";"1309548880078548992";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"@Crypto__Diva Project 🔥👇
The $TRUTH token is a community-led initiative that aims to support Elon Musk's vision of creating a truth-seeking AI. It is important to note that the token is not affiliated with Elon Musk himself. The $TRUTH contract operates with no ownership associated with it.";;;0;"1669012591786569733"
