"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2023-06-14 00:37:30;"Aaron Sibarium";"848348952084828160";;"-1";"en";"<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>";"NEW: From S&P Global to the London Stock Exchange, tobacco companies are crushing Tesla in the ESG ratings. How could cigarettes, which kill over 8 million a year, be deemed a more ethical investment than electric cars? 

One answer: Tobacco’s gone woke.🧵https://t.co/DVJrp65cSQ";;;5843;"1668658866337218560"
2023-06-14 23:27:38;"Jack Poso 🇺🇸";"592730371";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"Pregnant woman shot and killed in Tesla on Seattle street amid soaring crime

https://t.co/QvpNY657x9";;;629;"1669003670032097280"
2023-06-13 18:35:39;"RIZZO";"341746855";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"✨ Exactly 2 years ago, Elon says Tesla will resume #Bitcoin payments when mining is ~50% sustainable.

Today, mining is nearly 60% renewable ♻️💚⚡ https://t.co/pFwuKTx9yQ";;;644;"1668567801584402433"
2023-06-15 01:32:41;"cbl";"1002112525";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @SawyerMerritt: Tesla Cybertruck spotted in Palo Alto today with new camo wrap. More photos in thread. https://t.co/CkpUmeosj5";;;756;"1669035140150878210"
2023-06-15 01:32:39;"Darc_Knight67";"1613772039067770880";;"-1";"en";"<a href='http://twitter.com/#!/download/ipad' rel='nofollow'>Twitter for iPad</a>";"This scientist from the South Pole said we have a weapon at the South Pole that creates earthquakes based on Tesla’s patents and we accidentally caused 2 quakes in New Zealand. The shadow government are guilty of crimes against humanity https://t.co/ytY0YtkKDW";;;0;"1669035133913948174"
2023-06-15 01:32:38;"Deborah Denno";"413119537";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @ddayen: Tesla's self-driving capability is something like 10 times more deadly than a regular car piloted by a human, per an analysis o…";;;2419;"1669035130155851788"
2023-06-15 01:32:38;"GinLu 🇺🇸🫡 ♥️";"348891152";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @JackPosobiec: Pregnant woman shot and killed in Tesla on Seattle street amid soaring crime

https://t.co/QvpNY657x9";;;629;"1669035126934700033"
2023-06-15 01:32:37;"InTheMemeTime";"1334563251271643138";"Tesla_Indiana";"1891957230";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"@Tesla_Indiana @elonmusk @teslaownersSV @WholeMarsBlog @FonsDK @DirtyTesLa Feature complete yet?";;;0;"1669035122908094478"
2023-06-15 01:32:36;"Selena";"40809088";"BrandonTSLA";"98238432";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@BrandonTSLA @Tesla A work of art 💙";;;0;"1669035118738956314"
2023-06-15 01:32:36;"Skylark";"1590393341971144704";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @JackPosobiec: Pregnant woman shot and killed in Tesla on Seattle street amid soaring crime

https://t.co/QvpNY657x9";;;629;"1669035118638293011"
2023-06-15 01:32:34;"Straight outta Twittmo…. 🖕🫵";"1601609852995792897";"realMeetJames";"1519065580225150977";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@realMeetJames Joining the military and traveling internationally.";;;0;"1669035111327870982"
2023-06-15 01:32:33;"Lloyd Gillespie {Grumpy}";"33740012";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @aaronsibarium: NEW: From S&P Global to the London Stock Exchange, tobacco companies are crushing Tesla in the ESG ratings. How could ci…";;;5843;"1669035109394047006"
2023-06-15 01:32:33;"luiz Carlos Neres Bina 🗣🌐";"1643776850676547585";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @teslaownersSV: We are proud to announce our Plaid Partnership with @acopower_com, and excited to share their incredible creation, TesFr…";;;6;"1669035109222080533"
2023-06-15 01:32:32;"National Democratic Voice-Over Talent";"936831800265052160";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @ddayen: Tesla's self-driving capability is something like 10 times more deadly than a regular car piloted by a human, per an analysis o…";;;2419;"1669035104927113219"
2023-06-15 01:32:32;"Tiago †";"152443795";"Tesla_Indiana";"1891957230";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"@Tesla_Indiana @elonmusk @teslaownersSV @WholeMarsBlog @FonsDK @DirtyTesLa Why the car doesn't stay on the right ?";;;0;"1669035101391319040"
2023-06-15 01:32:31;"Rainbow hurricane";"1574957692883443714";"corbinwilliams";"62219803";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"@corbinwilliams @RealDanODowd @Tesla @elonmusk So why did FSD try to run a red light there.  My god traffic was going right and left in front of the car and it still tried to go into the intersection?

Things like this give pause to the idea of getting FSD.";;;0;"1669035099680038940"
2023-06-15 01:32:29;"Elon Musk";"1594486533389697026";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @EvasTeslaSPlaid: France would be extremely lucky to do business with @Tesla and Elon Musk @elonmusk - IMO the best businessman in decad…";;;11;"1669035089735344147"
2023-06-15 01:32:28;"Christine Klein";"752224328104587264";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @MrAndyNgo: Amid surging crime in #Seattle, a pregnant woman & her unborn child were killed in a downtown shooting. Hatred of the law &…";;;138;"1669035088594735104"
2023-06-15 01:32:28;"zu";"1353898739820236800";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @MrAndyNgo: Amid surging crime in #Seattle, a pregnant woman & her unborn child were killed in a downtown shooting. Hatred of the law &…";;;138;"1669035086157860868"
2023-06-15 01:32:26;"Dubhghlas";"1413968511844552706";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @MrAndyNgo: Amid surging crime in #Seattle, a pregnant woman & her unborn child were killed in a downtown shooting. Hatred of the law &…";;;138;"1669035078805233664"
